KODE KPI,NAMA UNIT,KATEGORI UNIT,BOBOT,TARGET BULANAN,TARGET TAHUNAN,REALISASI,ACH BULANAN,KPI BULANAN,ACH TAHUNAN,KPI TAHUNAN
A.AVG GADAI,17014:UPC BRI UNIT BETUNG SEKAYU,COLO,12.5,3678991733,3903782108,4137191284,1.1245448710553,14.05681088819125,1.0597905235340046,13.247381544175058
C.AVG EMAS,17014:UPC BRI UNIT BETUNG SEKAYU,COLO,10,344253212,406624829,538626026,1.5646216425135344,15.646216425135345,1.32462650479221,13.2462650479221
A.AVG GADAI,10522:UPC SUDIRMAN,GADAI,12.5,10150965085,10779257566,11408720877,1.1239050456255215,14.048813070319019,1.0583957946218352,13.22994743277294
A.AVG GADAI,17467:BRI UNIT BATUMARTA,COLO,12.5,2102130243,2230723887,2360738525,1.1230220072524784,14.03777509065598,1.0582836086338103,13.22854510792263
C.AVG EMAS,17013:BRI UNIT TANJUNG RAJA,COLO,10,612200139,737012012,974707472,1.5921385996287727,15.921385996287727,1.3225123283336664,13.225123283336664
A.AVG GADAI,17125:UPC BRI UNIT SUNGAI BAHAR I,COLO,12.5,2064086080,2189706904,2316257341,1.1221709033568987,14.027136291961234,1.0577933223705998,13.222416529632497
C.AVG EMAS,10603:UPC GEDUNG MENENG,GADAI,10,2628554106,3087577190,4081531262,1.5527666912708398,15.527666912708398,1.3219203961019028,13.219203961019028
A.AVG GADAI,10689:UPC SAWAH LEBAR,GADAI,12.5,8510269967,9032808932,9522114247,1.1188968486221467,13.986210607776833,1.054169784690847,13.177122308635589
A.AVG GADAI,17113:UPC BRI UNIT KALIREJO,COLO,12.5,1650645692,1751577856,1834361848,1.1112995701563313,13.89124462695414,1.047262524880881,13.090781561011012
C.AVG EMAS,17409:BRI UNIT TANJUNG BARU,COLO,10,97007965,115767412,151539993,1.562139696467192,15.62139696467192,1.3090038930817596,13.090038930817595
A.AVG GADAI,10509:UPC TAMAN BUKIT SIGUNTANG,GADAI,12.5,15736974560,16718903177,17505302889,1.112367744019534,13.904596800244176,1.0470365611711803,13.087957014639754
A.AVG GADAI,17470:BRI UNIT AHMAD YANI MANNA,COLO,12.5,2186861017,2320307349,2427459636,1.1100200776956828,13.875250971196035,1.0461802127404287,13.07725265925536
A.AVG GADAI,10785:UPC PLAJU,GADAI,12.5,21044579672,22344871735,23372978483,1.1106412599961764,13.883015749952204,1.046010859233961,13.075135740424512
A.AVG GADAI,10548:UPC PASIR PUTIH,GADAI,12.5,14647429106,15558507091,16274323176,1.1110702812231792,13.88837851528974,1.046008018687993,13.075100233599912
A.AVG GADAI,10618:UPC MASKAREBET,GADAI,12.5,12848825538,13647543307,14257398316,1.1096265782295969,13.87033222786996,1.0446860651240577,13.058575814050721
A.AVG GADAI,17112:UPC BRI UNIT KTM TELANG,COLO,12.5,2021909188,2145572091,2240431011,1.1080769721493544,13.85096215186693,1.0442114811233345,13.052643514041682
A.AVG GADAI,10786:UPC WAHID HASYIM,GADAI,12.5,13339380309,14161441442,14771967259,1.1073953149857676,13.842441437322094,1.0431118413687255,13.03889801710907
A.AVG GADAI,10546:UPC PANGKAL BALAM,GADAI,12.5,14068250581,14938906581,15582809234,1.1076579240808733,13.845724051010915,1.0431023950453606,13.038779938067007
A.AVG GADAI,10677:UPC GUNUNG IBUL,GADAI,12.5,17730443733,18850469987,19658696628,1.108753786652904,13.8594223331613,1.042875675861524,13.03594594826905
A.AVG GADAI,17302:UPC BRI UNIT PENARIK,COLO,12.5,2415644994,2563267119,2669853689,1.1052342937937512,13.81542867242189,1.0415823107977846,13.019778884972308
A.AVG GADAI,10611:UPC Untung Suropati,GADAI,12.5,12533074763,13308542197,13854137062,1.1054060814270434,13.817576017838043,1.0409958398841752,13.01244799855219
A.AVG GADAI,10660:UPC IMAM BONJOL,GADAI,12.5,10233230767,10867044764,11311704504,1.1053893693551649,13.817367116939561,1.040918184258618,13.011477303232724
A.AVG GADAI,10676:UPC NASIONAL,GADAI,12.5,15914465714,16929470308,17621986396,1.1072936228388672,13.841170285485841,1.0409059513027263,13.011324391284079
A.AVG GADAI,17468:BRI UNIT MARIANA,COLO,12.5,1975714082,2096354276,2181787783,1.1043034024393819,13.803792530492274,1.0407533726422489,13.00941715802811
A.AVG GADAI,60697:UPS ARIF RAHMAN HAKI,GADAI,12.5,15461864351,16494170220,17159801178,1.1098144950993691,13.872681188742114,1.0403555285971822,13.004444107464778
A.AVG GADAI,10756:UPC MANDALO,GADAI,12.5,11032809748,11719552586,12182609608,1.1042164132494383,13.80270516561798,1.0395114931736524,12.993893664670656
A.AVG GADAI,10581:UPC AIR MERBAU,GADAI,12.5,13068824706,13920963291,14454501110,1.1060291522131922,13.825364402664903,1.0383262140591187,12.979077675738985
A.AVG GADAI,10787:UPC PASAR 7 ULU,GADAI,12.5,9386170215,9971424659,10350367236,1.1027252861299193,13.78406607662399,1.0380028521459042,12.975035651823802
A.AVG GADAI,10666:UPC ANGKATAN 66,GADAI,12.5,14415676357,15342991287,15925720841,1.1047501654868068,13.809377068585086,1.0379801789038192,12.974752236297741
A.AVG GADAI,10673:UPC SITI KHODIJAH,GADAI,12.5,15843128350,16845402548,17480397882,1.1033425656745375,13.791782070931719,1.0376954680774542,12.971193350968177
A.AVG GADAI,10780:UPC PASAR BAWAH BANGKO,GADAI,12.5,7117257487,7560650737,7841500972,1.1017587864880347,13.771984831100434,1.037146304566826,12.964328807085327
A.AVG GADAI,10688:UPC RAWA MAKMUR,GADAI,12.5,10274214545,10920831418,11313147449,1.1011204213664783,13.764005267080979,1.0359236413404729,12.94904551675591
A.AVG GADAI,10759:UPC TP SRIWIJAYA,GADAI,12.5,19967997475,21196577110,21946372942,1.0990773095537965,13.738466369422456,1.0353734392165737,12.942167990207171
A.AVG GADAI,10696:UPC LINGKAR BARAT,GADAI,12.5,11422664479,12129113759,12551191349,1.0987971652388757,13.734964565485946,1.0347987164096644,12.934983955120805
A.AVG GADAI,10736:UPC TALANG BAKUNG,GADAI,12.5,21744512886,23085700519,23882465015,1.0983214542541673,13.72901817817709,1.0345133341457085,12.931416676821355
A.AVG GADAI,60717:UPS PENURUNAN,GADAI,12.5,10333320089,11007256716,11381186449,1.1014065519092429,13.767581898865537,1.0339712012400384,12.92464001550048
A.AVG GADAI,10605:UPC TJ SENANG,GADAI,12.5,16264026950,17266909793,17830854581,1.096337004102173,13.704212551277163,1.03266043517692,12.9082554397115
A.AVG GADAI,10606:UPC KI MAJA,GADAI,12.5,11546455730,12260699816,12651768867,1.0957274823414578,13.696593529268222,1.031896144336693,12.898701804208661
A.AVG GADAI,10730:UPC SELINCAH,GADAI,12.5,21089285089,22389938854,23098717693,1.0952821584762067,13.691026980952584,1.0316561310694858,12.895701638368573
A.AVG GADAI,10629:UPC PAHOMAN,GADAI,12.5,15273814125,16227050624,16740432132,1.0960217267931431,13.700271584914288,1.0316373886971613,12.895467358714516
A.AVG GADAI,10584:UPC PASAR KLIWON,GADAI,12.5,11998806968,12739936445,13136348870,1.0948045839085292,13.685057298856615,1.0311157301852616,12.88894662731577
A.AVG GADAI,10731:UPC THEHOK,GADAI,12.5,25372875812,26941619178,27763469804,1.0942184878731553,13.677731098414442,1.0305048713134177,12.881310891417721
A.AVG GADAI,10737:UPC LIVERPOOL,GADAI,12.5,13927953326,14797834573,15239025906,1.0941324650731385,13.676655813414232,1.0298145874535585,12.872682343169481
A.AVG GADAI,10616:UPC TALANG JAMBE,GADAI,12.5,9693899279,10293974000,10598242514,1.0932899351408663,13.666124189260827,1.0295579252483054,12.869474065603818
A.AVG GADAI,10640:UPC SEKIP KEBON SENAI,GADAI,12.5,18528612673,19682359662,20261450672,1.0935222744185862,13.669028430232327,1.0294218284771022,12.867772855963777
A.AVG GADAI,10646:UPC ANWAR SASTRO,GADAI,12.5,14715505251,15626383270,16085779307,1.0931177035805062,13.663971294756328,1.0293987437183858,12.867484296479823
A.AVG GADAI,60706:UPS SUKABANGUN,GADAI,12.5,18201222031,19395953616,19958126670,1.0965267406775034,13.706584258468792,1.0289840378632509,12.862300473290636
A.AVG GADAI,60703:UPS PASAR PERUMNAS,GADAI,12.5,18890819403,20142046458,20714737739,1.0965505146754169,13.70688143344271,1.0284326263567196,12.855407829458995
A.AVG GADAI,10704:UPC AIR RAMBAI,GADAI,12.5,9518986637,10154860139,10440589231,1.0968173009527884,13.710216261909855,1.0281371764937117,12.851714706171396
A.AVG GADAI,10697:UPC PADANG HARAPAN,GADAI,12.5,12522803888,13312920283,13687161853,1.0929790145572549,13.662237681965687,1.0281111553321542,12.851389441651929
A.AVG GADAI,60705:UPS A YANI,GADAI,12.5,20015664542,21342886573,21932718104,1.095777662439203,13.697220780490039,1.0276359774008343,12.84544971751043
A.AVG GADAI,17013:BRI UNIT TANJUNG RAJA,COLO,12.5,1662675049,1764212743,1812708164,1.0902359815228093,13.627949769035116,1.027488420085627,12.843605251070336
A.AVG GADAI,60730:UPS KOTO BARU,GADAI,12.5,15121335175,16102863705,16527060464,1.0929630401503219,13.662038001879024,1.0263429391672914,12.829286739591142
A.AVG GADAI,60694:UPS IRING MULYO,GADAI,12.5,23171987568,24696332709,25346802290,1.0938553378564457,13.673191723205571,1.026338711446131,12.829233893076639
A.AVG GADAI,10722:UPC UC PASAR SATELIT,GADAI,12.5,13679238711,14547030773,14921803833,1.090835838766437,13.635447984580463,1.0257628560665175,12.822035700831469
A.AVG GADAI,10635:UPC SUKARAME,GADAI,12.5,15171169321,16116990900,16519459874,1.0888718940822637,13.610898676028297,1.0249717193797014,12.812146492246267
A.AVG GADAI,17118:UPC BRI UNIT KETAHUN,COLO,12.5,2164248397,2296696775,2353774590,1.0875713680845112,13.59464210105639,1.0248521335603826,12.810651669504782
A.AVG GADAI,10623:UPC SEGARAN,GADAI,12.5,14403618661,15313884287,15693543086,1.0895555801190897,13.619444751488622,1.0247918027774503,12.809897534718129
A.AVG GADAI,10626:UPC M ISA,GADAI,12.5,17182748982,18265390160,18714644293,1.0891530984131093,13.614413730163866,1.0245959231675126,12.807449039593907
A.AVG GADAI,10653:UPC PANGLIMA POLIM,GADAI,12.5,10153727341,10784800316,11046976563,1.0879725436779384,13.59965679597423,1.0243097914952624,12.80387239369078
A.AVG GADAI,10586:UPC KOTA KARANG,GADAI,12.5,11767638080,12497181721,12800225777,1.0877480841932896,13.59685105241612,1.0242489917139295,12.803112396424119
A.AVG GADAI,10560:UPC MALL RAMAYANA,GADAI,12.5,11779520778,12505258573,12796776226,1.086357965419092,13.57947456773865,1.0233116053777098,12.791395067221373
A.AVG GADAI,10656:UPC BLORA,GADAI,12.5,13354835144,14189470065,14503656378,1.086022868991845,13.575285862398061,1.0221422161335663,12.776777701669578
A.AVG GADAI,10726:UPC LUBUK TANJUNG,GADAI,12.5,16323529107,17334888533,17714695249,1.085224594074049,13.565307425925614,1.0219099600944632,12.77387450118079
A.AVG GADAI,10641:UPC LEBONG SIARANG,GADAI,12.5,21417754730,22732614145,23228179436,1.0845291548447946,13.556614435559933,1.0217997493750184,12.77249686718773
A.AVG GADAI,60725:UPS SIMPANG MAYANG,GADAI,12.5,27327731761,29096728236,29715335587,1.0873692645581146,13.592115806976432,1.0212603749116584,12.76575468639573
A.AVG GADAI,10603:UPC GEDUNG MENENG,GADAI,12.5,14897224842,15816619063,16145196394,1.0837720827359452,13.547151034199315,1.020774182503304,12.759677281291301
A.AVG GADAI,60713:UPS PANGKAL PINANG,GADAI,12.5,27514954093,29323702847,29903906455,1.0868237814944335,13.585297268680419,1.0197861644904562,12.747327056130702
A.AVG GADAI,60692:UPS CHANDRA,GADAI,12.5,14575582168,15525733461,15827993233,1.0859252859038186,13.574066073797733,1.019468308712066,12.743353858900825
A.AVG GADAI,10791:UPC PASAR INDRALAYA,GADAI,12.5,17337470072,18411931213,18766519349,1.0824254790961638,13.530318488702047,1.0192586063839755,12.740732579799694
A.AVG GADAI,10734:UPC KEBUN HANDIL,GADAI,12.5,18591949012,19736320475,20115620566,1.081953298872354,13.524416235904424,1.0192183792050022,12.740229740062528
A.AVG GADAI,10746:UPC BRONI,GADAI,12.5,12420508461,13191067123,13429677854,1.081250248020744,13.515628100259299,1.0180888118281164,12.726110147851454
A.AVG GADAI,10583:UPC PANJANG,GADAI,12.5,13171721671,13980405462,14221727901,1.0797167034216784,13.49645879277098,1.0172614764039525,12.715768455049407
A.AVG GADAI,17465:BRI UNIT GUNUNG MEGANG,COLO,12.5,1867416022,1983047790,2017114343,1.0801633483039699,13.502041853799623,1.0171788865461482,12.714736081826853
A.AVG GADAI,10721:UPC SIMPANG PERIUK,GADAI,12.5,11564285434,12297377146,12501823231,1.0810718312299312,13.51339789037414,1.0166251780825069,12.707814726031335
A.AVG GADAI,10784:UPC KERTAPATI,GADAI,12.5,10206266568,10856256755,11035336315,1.0812314416320858,13.515393020401072,1.0164955162761347,12.706193953451683
C.AVG EMAS,10558:UPC PASAR PAGI,GADAI,10,443227918,518535534,658503219,1.4856988746814455,14.856988746814455,1.269928820345801,12.69928820345801
A.AVG GADAI,60709:UPS PASAR III,GADAI,12.5,21318041095,22727513265,23064278449,1.0819135935716706,13.523919919645882,1.0148175112724986,12.685218890906233
A.AVG GADAI,10672:UPC POLIGON,GADAI,12.5,16457666872,17477284120,17733631851,1.077530125559343,13.469126569491788,1.0146674808992004,12.683343511240006
A.AVG GADAI,60704:UPS KOLONEL ATMO,GADAI,12.5,19828260674,21145575289,21453872973,1.0819846140681215,13.52480767585152,1.0145797728265344,12.68224716033168
A.AVG GADAI,10649:UPC SUKAMAJU,GADAI,12.5,16274363401,17293426083,17539474279,1.0777364279528294,13.471705349410367,1.0142278455882072,12.67784806985259
A.AVG GADAI,10571:UPC HADIMULYO,GADAI,12.5,12390713616,13164773031,13350624235,1.077470164249497,13.468377053118713,1.0141173116742965,12.676466395928706
A.AVG GADAI,17124:UPC BRI UNIT PASAR RENGAS JAMBI,COLO,12.5,2385245379,2530925403,2566577028,1.076022220018312,13.450277750228901,1.0140863989739646,12.676079987174557
A.AVG GADAI,10631:UPC WAY DADI,GADAI,12.5,9561648496,10158154694,10300238644,1.0772450637888416,13.46556329736052,1.0139871811643038,12.674839764553797
A.AVG GADAI,17057:UPC BRI UNIT SOEKARNO HATTA,COLO,12.5,967878900,1027061104,1040750585,1.0752900853608856,13.44112606701107,1.0133287892479668,12.666609865599584
A.AVG GADAI,17404:BRI UNIT PASAR BAWAH,COLO,12.5,768425056,815416596,826205077,1.0751927862695825,13.439909828369782,1.0132306370178417,12.66538296272302
A.AVG GADAI,10592:UPC PASAR BANDAR JAYA,GADAI,12.5,11429649002,12146135006,12299006648,1.0760616223514718,13.450770279393398,1.0125860318467137,12.657325398083922
A.AVG GADAI,60724:UPS KEBON JERUK,GADAI,12.5,18081188899,19250473708,19488838438,1.077851602948402,13.473145036855025,1.0123822786709369,12.65477848338671
A.AVG GADAI,10619:UPC TALANG RATU,GADAI,12.5,9350180558,9924832124,10039954551,1.073771194975463,13.422139937193286,1.0115994331754603,12.644992914693255
A.AVG GADAI,17115:UPC BRI UNIT GELUMBANG,COLO,12.5,1882172699,1997260976,2017672311,1.071991062282431,13.399888278530387,1.010219663451733,12.627745793146664
A.AVG GADAI,10580:UPC PASAR INPRES,GADAI,12.5,13198734928,14026932048,14169920670,1.073581729407999,13.419771617599988,1.0101938628853904,12.62742328606738
A.AVG GADAI,10749:UPC BULURAN KENALI,GADAI,12.5,19428603494,20651832848,20857352795,1.073538445593438,13.419230569917975,1.009951656519431,12.624395706492889
A.AVG GADAI,17012:UPC BRI UNIT RAWA BENING BATURAJA,COLO,12.5,2474188736,2625560736,2648722073,1.0705416423818042,13.381770529772552,1.0088214820866364,12.610268526082955
A.AVG GADAI,60723:UPS TALANG BANJAR,GADAI,12.5,22028224788,23459237248,23661664624,1.0741521321722587,13.426901652153234,1.0086288984530927,12.607861230663659
A.AVG GADAI,17355:BRI UNIT O MANGUN HARJO,COLO,12.5,1618608098,1717645362,1731926207,1.0700096021637475,13.375120027046844,1.0083141987955953,12.60392748494494
A.AVG GADAI,60690:UPS ENGGAL,GADAI,12.5,19928047524,21234533816,21410426621,1.0743865697437103,13.429832121796379,1.0082833372526157,12.603541715657695
A.AVG GADAI,10733:UPC TANJUNG PINANG,GADAI,12.5,15686768200,16657179024,16789768065,1.070314028417912,13.3789253552239,1.0079598736862323,12.599498421077904
A.AVG GADAI,10585:UPC PENGAJARAN,GADAI,12.5,10792004246,11479368143,11566835798,1.0717968168227128,13.39746021028391,1.0076195530895433,12.595244413619291
A.AVG GADAI,60729:UPS IAIN STS JAMBI,GADAI,12.5,15606102639,16623419428,16738138580,1.072538029973673,13.406725374670913,1.0069010562175174,12.586263202718968
A.AVG GADAI,10652:UPC KEMILING,GADAI,12.5,19111954267,20298322455,20429050190,1.0689147694997465,13.36143461874683,1.0064403221147864,12.58050402643483
A.AVG GADAI,17471:BRI UNIT KOTA MUARA BULIAN,COLO,12.5,1657303894,1758623307,1767580287,1.066539633074681,13.331745413433513,1.0050931771257368,12.56366471407171
A.AVG GADAI,10515:UPC 36 ILIR,GADAI,12.5,10214683636,10846120206,10879112394,1.065046435276598,13.313080440957476,1.0030418423706708,12.538023029633386
C.AVG EMAS,17469:BRI UNIT PULAU BAAI,COLO,10,636154701,747209304,936773436,1.4725560221868108,14.725560221868108,1.2536961611495137,12.536961611495137
A.AVG GADAI,17114:UPC BRI UNIT PAGELARAN,COLO,12.5,1128501141,1197503633,1200462084,1.063766832292463,13.297085403655787,1.0024705152606415,12.530881440758018
A.AVG GADAI,10504:UPC PASAR 26 ILIR,GADAI,12.5,13285946186,14106353013,14103074357,1.0615031974057705,13.26878996757213,0.999767575928592,12.4970946991074
A.AVG GADAI,10517:UPC RAMAYANA,GADAI,12.5,18397566555,19523188016,19491962635,1.0594859149838254,13.243573937297818,0.9984006003028599,12.48000750378575
A.AVG GADAI,10744:UPC SIMPANG KAWAT,GADAI,12.5,9191398592,9774610817,9752515335,1.0610480263023718,13.263100328779649,0.997739502634563,12.471743782932037
A.AVG GADAI,60728:UPS PAAL MERAH,GADAI,12.5,19438673680,20699268313,20596057053,1.0595402439514587,13.244253049393235,0.995013772543101,12.437672156788762
A.AVG GADAI,17416:BRI UNIT GADING REJO,COLO,12.5,836332576,887471318,882971128,1.055765557074271,13.197069463428388,0.9949291995034368,12.436614993792961
A.AVG GADAI,10690:UPC PASAR MINGGU,GADAI,12.5,13147976047,13959756837,13880163038,1.0556881902113797,13.196102377642246,0.994298339152367,12.428729239404587
A.AVG GADAI,10578:UPC AIR RAYA,GADAI,12.5,10141600159,10795822844,10704961669,1.0555495682306164,13.194369602882706,0.9915836730267857,12.394795912834821
A.AVG GADAI,10634:UPC JALUR DUA KORPRI,GADAI,12.5,13573095142,14411316610,14279604388,1.052052184016143,13.150652300201788,0.9908605004272403,12.385756255340503
C.AVG EMAS,10697:UPC PADANG HARAPAN,GADAI,10,2543753227,3010440225,3722035067,1.463206032524475,14.63206032524475,1.2363756755874467,12.363756755874466
A.AVG GADAI,60699:UPS CIDAWANG MARTAPU,GADAI,12.5,10567660580,11264658024,11136110709,1.0537914824853316,13.172393531066644,0.9885884405255692,12.357355506569615
A.AVG GADAI,10625:UPC PASAR LEMABANG,GADAI,12.5,25581327214,27165458505,26822955980,1.0485365264911075,13.106706581138845,0.9873919843857243,12.342399804821554
A.AVG GADAI,17108:UPC BRI UNIT JARAI,COLO,12.5,2795637635,2966358643,2928509917,1.0475284351364085,13.094105439205105,0.9872406776944133,12.340508471180165
A.AVG GADAI,10732:UPC PASAR KASANG,GADAI,12.5,10672191534,11335795050,11186311784,1.0481738215025556,13.102172768781944,0.986813164375268,12.33516455469085
A.AVG GADAI,60726:UPS SIJENJANG,GADAI,12.5,7536963289,8030030199,7871024261,1.0443230196553501,13.054037745691877,0.9801985877936298,12.252482347420372
C.AVG EMAS,17116:UPC BRI UNIT MUARA BANGKAHULU,COLO,10,306965304,360667288,440362081,1.4345663019948338,14.345663019948338,1.220964849465361,12.20964849465361
A.AVG GADAI,60696:UPS TEUKU UMAR,GADAI,12.5,11450942489,12216961081,11904191044,1.0395817685256388,12.994772106570485,0.9743987039881444,12.179983799851806
A.AVG GADAI,17429:BRI UNIT KARANG ANYAR LAMPUNG,COLO,12.5,1061485111,1126346694,1094410220,1.0310179659222747,12.887724574028434,0.9716459646304959,12.145574557881199
A.AVG GADAI,17056:UPC BRI UNIT MERLUNG,COLO,12.5,2497136446,2649732798,2570619786,1.0294270423699547,12.867838029624433,0.9701430227003591,12.126787783754489
A.AVG GADAI,17466:BRI UNIT GEDONGTATAAN,COLO,12.5,3781983662,4020219527,3899268305,1.0310114092185096,12.887642615231371,0.969914274285848,12.1239284285731
A.AVG GADAI,60707:UPS KM 11,GADAI,12.5,26283694420,28016433687,27093567230,1.0308127463764662,12.885159329705829,0.967059816844989,12.088247710562362
A.AVG GADAI,17116:UPC BRI UNIT MUARA BANGKAHULU,COLO,12.5,521020214,552900097,534055952,1.0250196396410831,12.81274549551354,0.9659176312280516,12.073970390350645
A.AVG GADAI,10643:UPC PASAR SATELITE,GADAI,12.5,14088004404,14955226971,14384074469,1.0210157561361874,12.762696951702344,0.9618091719298186,12.022614649122733
A.AVG GADAI,10558:UPC PASAR PAGI,GADAI,12.5,6815831932,7238455324,6955321915,1.0204655843030843,12.755819803788555,0.9608848302121537,12.011060377651921
A.AVG GADAI,17352:BRI UNIT GUNUNG SUGIH,COLO,12.5,2013781213,2136909877,2048560891,1.0172708324893882,12.715885406117353,0.9586557266869706,11.983196583587134
A.AVG GADAI,17317:UPC BRI UNIT PROPAU,COLO,12.5,847190514,899015751,860404066,1.0155969074035218,12.694961342544023,0.9570511584952197,11.963139481190247
A.AVG GADAI,10760:UPC BERINGIN,GADAI,12.5,10826891150,11495588010,10993048461,1.015346724068617,12.691834050857711,0.9562841371347998,11.953551714184997
A.AVG GADAI,17111:UPC BRI UNIT SEPUTIH MATARAM,COLO,12.5,1626930734,1726169995,1641000253,1.0086478905991336,12.60809863248917,0.9506597019721688,11.883246274652109
C.AVG EMAS,17113:UPC BRI UNIT KALIREJO,COLO,10,302806102,359560078,426990932,1.4101133668699979,14.10113366869998,1.1875370991548178,11.875370991548177
A.AVG GADAI,17055:UPC BRI UNIT KOTO BARU DHARMASRAYA,COLO,12.5,2549207963,2705050789,2567400684,1.0071366170450018,12.589207713062523,0.9491136707821718,11.863920884777148
A.AVG GADAI,10633:UPC PERINTIS,GADAI,12.5,16153432619,17151284641,16260181018,1.0066084033974574,12.582605042468217,0.9480444968611957,11.850556210764946
A.AVG GADAI,17441:BRI UNIT SIMPANG MEMBALONG,COLO,12.5,4032405484,4278613014,4044142466,1.00291066512199,12.536383314024874,0.9451994028829456,11.81499253603682
C.AVG EMAS,17111:UPC BRI UNIT SEPUTIH MATARAM,COLO,10,160830506,191893843,226526659,1.4084806709493285,14.084806709493286,1.1804790370475826,11.804790370475827
C.AVG EMAS,10606:UPC KI MAJA,GADAI,10,3059562288,3560348255,4076514058,1.332384725092415,13.32384725092415,1.1449762118846434,11.449762118846433
C.AVG EMAS,10611:UPC Untung Suropati,GADAI,10,2933279685,3424344521,3910082091,1.3330069106587767,13.330069106587768,1.1418483353591278,11.418483353591277
